"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"HVICBUS","197602","0.963","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","197603","0.997","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","197604","1.024","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","197605","1.004","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","197606","0.962","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","197607","0.877","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","197608","0.803","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","197609","0.69","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","197610","0.899","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","197611","0.892","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","197612","0.912","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","197613","10.977","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","197701","1.001","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","197702","0.732","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","197703","0.957","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","197704","0.901","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","197705","0.903","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","197706","0.833","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","197707","0.812","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","197708","0.808","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","197709","0.794","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","197710","0.831","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","197711","0.986","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","197712","1.1","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","197713","10.66","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","197801","0.929","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","197802","0.823","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","197803","0.913","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","197804","0.938","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","197805","1.066","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","197806","0.931","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","197807","0.906","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","197808","0.822","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","197809","0.785","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","197810","0.722","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","197811","0.74","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","197812","0.818","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","197813","10.394","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","197901","1.005","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","197902","0.854","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","197903","1.041","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","197904","1.02","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","197905","1.162","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","197906","1.003","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","197907","0.914","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","197908","0.854","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","197909","0.762","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","197910","0.81","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","197911","0.898","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","197912","0.913","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
